Experiment,Reference,Apparatus,Pressure_kbar,Pressure_error,Temperature_degC,Phases,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,Cr2O3,Total,Alk Line,Sub line,Alkalinity (S),Alkalinity (A),alk,KB08
AH6,Husen2016,IHPV,4.01,,1175,gl-ol-cp-pl-ox,47.03,1.24,16.21,12.4,0.19,7.41,11.67,2.74,0.14,0,0.59,0.03,99.65,3.824,2.43042,-0.44958,0.944,2.88,8.7091
AH6,Husen2016,IHPV,4.02,,1200,gl-ol-cp-pl,47.32,1.11,16.52,11.2,0.26,7.62,12,2.72,0.13,0,0.59,0,99.47,4.056,2.57948,-0.27052,1.206,2.85,5.8006
AH3,Husen2016,IHPV,1.02,,1100,gl-ol-cp-pl,48.63,2.25,14.43,14.31,0.24,5.63,10.84,3.36,0.31,0,0.43,0,100.43,5.104,3.25282,-0.41718,1.434,3.67,3.8555
AH3,Husen2016,IHPV,1.05,,1125,gl-ol-cp-pl,49.3,2,14.82,12.89,0.24,5.89,11.37,3.2,0.27,0,0.48,0,100.46,5.64,3.5972,0.1272,2.17,3.47,1.8465
AH3,Husen2016,IHPV,1.05,,1135,gl-ol-cp-pl,49.8,1.57,15.79,10.33,0.22,6.68,12.38,3.03,0.21,0,0.55,0,100.56,6.04,3.8542,0.6142,2.8,3.24,2.0582
AH3,Husen2016,IHPV,1.08,,1155,gl-ol-cp-pl,49.61,1.56,15.17,10.62,0.18,7.24,12.61,2.67,0.2,0.14,0.51,0,100.51,5.888,3.75654,0.88654,3.018,2.87,8.1587
AH3,Husen2016,IHPV,2.02,,1075,gl-ol-cp-pl,48.4,2.9,14.65,15.37,0.3,4.73,9.84,3.39,0.42,0,0.48,0,100.48,4.92,3.1346,-0.6754,1.11,3.81,10.7676
AH3,Husen2016,IHPV,2.01,,1100,gl-ol-cp-pl,48.56,2.64,14.7,15.29,0.26,5.04,9.53,3.2,0.37,0.42,0.26,0,100.27,5.048,3.21684,-0.35316,1.478,3.57,5.519
AH3,Husen2016,IHPV,2.05,,1125,gl-ol-cp-pl,49.57,1.93,15.66,12.46,0.24,5.88,10.86,3.12,0.28,0,0.75,0,100.75,5.856,3.73598,0.33598,2.456,3.4,11.2378
AH3,Husen2016,IHPV,4.01,,1125,gl-ol-cp-pl,48.21,2.39,15.31,15.27,0.27,5.43,9.41,3.33,0.38,0,0.55,0,100.55,4.768,3.03694,-0.67306,1.058,3.71,11.8962
AH3,Husen2016,IHPV,3.97,,1150,gl-ol-cp-pl,47.7,2.35,14.95,15.34,0.21,5.87,9.89,3.13,0.32,0.2,0.37,0,100.33,4.36,2.7748,-0.6752,0.91,3.45,7.1836
AH5,Husen2016,IHPV,2.02,,1075,gl-ol-cp-pl,49.88,2.68,14.22,15.46,0.47,4.52,9.22,3.22,0.33,0,0.79,0,100.79,6.104,3.89532,0.34532,2.554,3.55,9.1814
AH5,Husen2016,IHPV,2.01,,1100,gl-ol-cp-pl,49.06,2.56,13.67,15.79,0.46,5.09,9.59,3.08,0.28,0.42,0.63,0,100.63,5.448,3.47384,0.11384,2.088,3.36,4.1508
Y0166-6,"Neave et al., 2019 (HAL)",IHPV,3,,1200,gl-ol-cp-pl,50.37,0.87,16.07,9.86,0.16,8.43,12.83,1.7,0.09,0.19,,0.03,100.61,6.496,4.14718,2.35718,4.706,1.79,8.0993
Y0174-12,"Neave et al., 2019 (HAL)",IHPV,3,,1180,gl-ol-cp-pl,49.47,1.09,15.58,12.6,0.27,7.56,11.63,1.84,0.13,0.18,,0.02,100.36,5.776,3.68458,1.71458,3.806,1.97,7.9029
Y0175-10,"Neave et al., 2019 (HAL)",IHPV,3,,1160,gl-ol-cp-pl,49.91,1.21,15.44,13.1,0.22,6.95,11.06,2.03,0.16,0.16,,0.02,100.25,6.128,3.91074,1.72074,3.938,2.19,10.3124
Y0188-10,"Neave et al., 2019 (HAL)",IHPV,3,,1140,gl-ol-cp-pl-Ca.cpx,48.92,1.53,15.09,13.65,0.27,6.55,10.28,2.26,0.24,0.41,,0.01,99.2,5.336,3.40188,0.90188,2.836,2.5,9.1344
Y0212-10,"Neave et al., 2019 (HAL)",IHPV,3,,1160,gl-cp-pl-Ca.cpx,48.7,1.29,14.77,14.17,0.18,6.93,10.73,1.92,0.16,0.12,,0,98.86,5.16,3.2888,1.2088,3.08,2.08,9.8072
Y0214-11,"Neave et al., 2019 (HAL)",IHPV,3,,1140,gl-cp-pl-Ca.cpx,48.19,1.76,13.64,16.02,0.24,6.08,10.03,1.89,0.22,0.17,,0,98.07,4.752,3.02666,0.91666,2.642,2.11,2.5899
Y0216-1,"Neave et al., 2019 (HAL)",IHPV,3,,1200,gl-ol-cp-pl,50.23,0.93,15.15,10.53,0.2,8.04,12.8,1.79,0.11,0.14,,0.05,99.98,6.384,4.07522,2.17522,4.484,1.9,3.6952
